LocationID;Zone;Zone_Lat;Zone_Lon;borough_ID;Borough;borough_lat;borough_lon;borough_boundingbox
94;Fordham South;40.86099679;-73.89642655899999;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
95;Forest Hills;40.72526378216503;-73.84447500788983;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
96;Forest Park/Highland Park;40.68199893;-73.8903457;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
97;Fort Greene;40.68852726018977;-73.97290574369092;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
98;Fresh Meadows;40.7343944653313;-73.78271337003264;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
99;Freshkills Park;40.580999999999996;-74.189;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
100;Garment District;40.7535;-73.9888;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
101;Glen Oaks;40.74944079974332;-73.71548118999145;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
102;Glendale;40.70276242967838;-73.87074167435605;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
103;Governor's Island/Ellis Island/Liberty Island;40.688889;-74.044444;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
104;Governor's Island/Ellis Island/Liberty Island;40.688889;-74.044444;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
105;Governor's Island/Ellis Island/Liberty Island;40.688889;-74.044444;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
106;Gowanus;40.67393114318715;-73.99444087145339;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
107;Gramercy;40.737209832715;-73.98137594833541;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
108;Gravesend;40.59526001306593;-73.97347087708445;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
109;Great Kills;40.549480228713605;-74.14932381490992;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
110;Great Kills Park;40.54958022;-74.1493238;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
111;Green-Wood Cemetery;40.6525;-73.991111;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
112;Greenpoint;40.7302009848647;-73.95424093127394;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
113;Greenwich Village North;40.72693288536;-73.999914029;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
114;Greenwich Village South;40.73693288536;-73.999914029;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
115;Grymes Hill/Clifton;40.61917845;-74.0726424;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
116;Hamilton Heights;40.823604284811935;-73.94968791883366;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
117;Hammels/Arverne;40.58733774;-73.80553002;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
118;Heartland Village/Todt Hill;40.589138948;-74.15902208156;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
119;Highbridge;40.8366230107;-73.926102093;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
120;Highbridge Park;40.836999999999996;-73.929;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
121;Hillcrest/Pomonok;40.7238249018;-73.79760300000001;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
122;Hollis;40.71124344191904;-73.75925009335594;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
123;Homecrest;40.598525095137255;-73.95918459428701;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
124;Howard Beach;40.65422527738487;-73.83813764600279;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
125;Hudson Sq;40.726675;-74.007422;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
126;Hunts Point;40.80972987938709;-73.88331505955291;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
127;Inwood;40.86768396449915;-73.92121042203897;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
128;Inwood Hill Park;40.867444;-73.921509;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
129;Jackson Heights;40.75198138007367;-73.88282109164366;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
130;Jamaica;40.69149;-73.80569;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
131;Jamaica Estates;40.71680483014613;-73.7872269693666;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
132;JFK Airport;40.641766;-73.780968;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
133;Kensington;40.64238195800353;-73.98042110559473;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
134;Kew Gardens;40.705179035414794;-73.82981905825703;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
135;Kew Gardens Hills;40.722578244228046;-73.82087764933566;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
136;Kingsbridge Heights;40.870392391414704;-73.90152264513144;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
137;Kips Bay;40.742329;-73.980064;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
138;LaGuardia Airport;40.775;-73.875;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
139;Laurelton;40.66788389660247;-73.74025607989822;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
140;Lenox Hill East;40.769;-73.962;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
141;Lenox Hill West;40.769;-74.000001;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
